"root","file","ra","dec","srcid","msamet","slitid","grating","exptime","wmin","wmax","sn50","flux50","ctime","version","References","nRef","zfit","z","grade","reviewer","comment","thumb","slit_thumb","FITS","fnu","flam","has_v3","flam_v3"
"rubies-egs61-v4","rubies-egs61-v4_g395m-f290lp_4233_55604.spec.fits","214.98302557","52.9560013","55604","jw04233006001_02_msa.fits","190","G395M_F290LP","2844.8","2.69","5.43","2.2","0.544","2025-01-22 21:24:55.525","0.9.5.dev2+g80b81b4","ILa22  z=N/A ;  VKo24  z=N/A ;  DKo24  z=6.990","3","6.9843","6.9843","3","Auto","Redshift matches rubies-egs61-nod-v3_prism-clear_4233_55604 z=6.9823","","","FITS   d2d","","","1",""
"egs-nelsonx-v4","egs-nelsonx-v4_g395m-f290lp_4106_51623.spec.fits","214.88681837","52.85538915","51623","jw04106006001_01_msa.fits","131","G395M_F290LP","3939","2.69","5.5","1.5","0.288","2025-01-22 23:10:22.578","0.9.5.dev2+g80b81b4","VKo24  z=N/A ;  DKo24  z=4.950","2","4.9528","4.9528","3","Auto","Redshift matches egs-nelsonx-v3_g395m-f290lp_4106_51623 z=4.9536","","","FITS   d2d","","","1",""
"jades-gdn09-v4","jades-gdn09-v4_g395h-f290lp_1181_73488.spec.fits","189.1973959","62.1772331","73488","jw01181009001_05_msa.fits","722","G395H_F290LP","9191","2.88","4.23","1.3","0.239","2025-01-28 11:42:31.796","0.9.5.dev2+g80b81b4","RMa23  z=4.133","1","4.1325","4.1325","3","Auto","Redshift matches jades-gdn09-v3_g395h-f290lp_1181_73488 z=4.1326","","","FITS   d2d","","","1",""
"jades-gdn11-v4","jades-gdn11-v4_g395m-f290lp_1181_4685.spec.fits","189.0962931","62.2391438","4685","jw01181011001_05_msa.fits","694","G395M_F290LP","9191","2.69","5.5","0.5","0.093","2025-01-28 11:41:56.405","0.9.5.dev2+g80b81b4","-","0","7.4131","7.4131","3","Auto","Redshift matches jades-gdn11-v3_g395m-f290lp_1181_4685 z=7.4143","","","FITS   d2d","","","1",""
"jades-gdn-v4","jades-gdn-v4_g395h-f290lp_1181_39353.spec.fits","189.2939522","62.1530911","39353","jw01181098001_04_msa.fits","573","G395H_F290LP","3063.7","2.83","4.33","0.5","0.22","2025-01-28 09:11:14.889","0.9.5.dev2+g80b81b4","-","0","4.8468","4.8468","3","Auto","Redshift matches jades-gdn-v3_g395m-f290lp_1181_39353 z=4.8476","","","FITS   d2d","","","1",""
"jades-gdn198-v4","jades-gdn198-v4_g395h-f290lp_1181_53501.spec.fits","189.2950564","62.1935722","53501","jw01181198001_01_msa.fits","129","G395H_F290LP","3063.7","2.83","4.48","1","0.409","2025-05-21 12:04:38.753","0.9.5.dev8+ge2b237b","-","0","3.4299","3.4299","3","Auto","Redshift matches jades-gdn198-v4_prism-clear_1181_53501 z=3.4361","","","FITS   d2d","","","1",""
"jades-gdn198-v4","jades-gdn198-v4_g395h-f290lp_1181_68797.spec.fits","189.2291371","62.1461898","68797","jw01181198001_01_msa.fits","34","G395H_F290LP","3063.7","2.83","4.09","2","1.245","2025-05-21 12:04:10.830","0.9.5.dev8+ge2b237b","-","0","5.0404","5.0404","3","Auto","Redshift matches jades-gdn-v4_prism-clear_1181_68797 z=5.0433","","","FITS   d2d","","","1",""
"jades-gdn2-v4","jades-gdn2-v4_g235m-f170lp_1181_28074.spec.fits","189.0645893","62.2738154","28074","jw01181004001_01_msa.fits","16","G235M_F170LP","6127.3","1.61","3.7","24.6","4.859","2025-01-28 09:04:56.474","0.9.5.dev2+g80b81b4","-","0","2.26","2.26","3","Auto","Redshift matches jades-gdn2-v3_g395m-f290lp_1181_28074 z=2.2624","","","FITS   d2d","","","1",""
"jades-gds-w09-v4","jades-gds-w09-v4_g395h-f290lp_1212_2993.spec.fits","53.08880894","-27.73819879","98","jw01212009001_01_msa.fits","98","G395H_F290LP","1750.7","2.83","4.5","0.6","0.388","2025-01-28 13:56:09.142","0.9.5.dev2+g80b81b4","-","0","","","-1","","","","","FITS   d2d","","","0",""
"jades-gds-wide-v4","jades-gds-wide-v4_g235m-f170lp_1180_12402.spec.fits","53.1326687","-27.7654818","12402","jw01180026001_04_msa.fits","634","G235M_F170LP","3063.7","1.61","4.35","1.9","0.558","2025-01-28 09:25:51.885","0.9.5.dev2+g80b81b4","CWi23  z=N/A","1","3.1901","3.1901","3","Auto","Redshift matches jades-gds-wide-v3_g235m-f170lp_1180_12402 z=3.1907","","","FITS   d2d","","","1",""
"jades-gds-wide-v4","jades-gds-wide-v4_g395m-f290lp_1180_13329.spec.fits","53.1390379","-27.7844332","13329","jw01180026001_04_msa.fits","711","G395M_F290LP","3063.7","2.69","5.5","1","0.236","2025-01-28 09:25:45.837","0.9.5.dev2+g80b81b4","CSi23  z=N/A ;  VKo24  z=N/A","2","3.9358","3.9358","3","Auto","Redshift matches jades-gds-wide-v3_g235m-f170lp_1180_13329 z=3.9366","","","FITS   d2d","","","1",""
"jades-gds02-v4","jades-gds02-v4_g395h-f290lp_1286_38562.spec.fits","53.1358639","-27.871645","38562","jw01286002001_05_msa.fits","687","G395H_F290LP","8534.5","2.83","4.19","0.5","0.112","2025-01-28 11:49:52.499","0.9.5.dev2+g80b81b4","-","0","4.821","4.821","3","Auto","Redshift matches jades-gds02-v3_g235m-f170lp_1286_38562 z=4.8219","","","FITS   d2d","","","1",""
"jades-gds05-v4","jades-gds05-v4_g395m-f290lp_1286_204851.spec.fits","53.1385932","-27.7902534","204851","jw01286005001_05_msa.fits","682","G395M_F290LP","9191","2.69","5.5","0.9","0.18","2025-01-28 11:49:57.053","0.9.5.dev2+g80b81b4","CWi23  z=5.480 ;  JMa23  z=5.481","2","5.4818","5.4818","3","Auto","Redshift matches jades-gds05-v3_prism-clear_1286_204851 z=5.4927","","","FITS   d2d","","","1",""
"jades-gds06-v4","jades-gds06-v4_g395h-f290lp_1286_159717.spec.fits","53.0975283","-27.9012603","159717","jw01286006001_05_msa.fits","715","G395H_F290LP","8534.5","2.93","4.28","1.3","0.284","2025-01-28 11:51:24.557","0.9.5.dev2+g80b81b4","DKo24  z=N/A","1","5.0774","5.0774","3","Auto","Redshift matches jades-gds06-v3_g235m-f170lp_1286_159717 z=5.0775","","","FITS   d2d","","","1",""
"macs0416-nakajima-v4","macs0416-nakajima-v4_g395m-f290lp_4750_60009.spec.fits","64.0562336","-24.113539","60009","jw04750005001_01_msa.fits","259","G395M_F290LP","17506.7","2.69","5.5","1.6","0.111","2025-05-07 09:19:31.267","0.9.5.dev8+ge2b237b","-","0","4.9992","4.9992","3","Auto","Redshift matches macs0416-v4_prism-clear_1208_3104035 z=5.0068","","","FITS   d2d","","","0",""
"macsj0647-hr-v4","macsj0647-hr-v4_g395h-f290lp_4246_1045.spec.fits","101.933406","70.198268","1045","jw04246003001_01_msa.fits","7","G395H_F290LP","4376.7","2.83","4.3","0.1","0.123","2025-01-27 20:52:58.353","0.9.5.dev2+g80b81b4","-","0","4.5253","4.5253","3","Auto","Redshift matches macsj0647-v4_prism-clear_1433_1045 z=4.5276","","","FITS   d2d","","","1",""
"rubies-egs51-v4","rubies-egs51-v4_g395m-f290lp_4233_926125.spec.fits","215.1370814","52.9885544","926125","jw04233005001_02_msa.fits","159","G395M_F290LP","2844.8","2.69","5.2","0.7","0.141","2025-01-22 21:41:56.460","0.9.5.dev2+g80b81b4","VKo24  z=N/A ;  DKo24  z=5.290","2","5.2858","5.2858","3","Auto","Redshift matches rubies-egs51-nod-v3_g395m-f290lp_4233_926125 z=5.2842","","","FITS   d2d","","","1",""
