filename,description
jades-gdn2-v4_prism-clear_1181_28074.spec.fits, 'The "Rosetta Stone" LRD (Juodžbalis et al. 2025); Juodžbalis et al. (2026)'
uncover-v4_prism-clear_2561_13123.spec.fits,'BlackTHUNDER strikes twice (D'Eugenio et al. 2026)'
rubies-egs61-v4_prism-clear_4233_55604.spec.fits,'The Sneppen et al. (2026) Sample ("Inside the Cocoon"); Juodžbalis et al. (2026)'
capers-egs65-v4_prism-clear_6368_19799.spec.fits,'The Sneppen et al. (2026) Sample ("Inside the Cocoon")'
jades-gdn-v4_prism-clear_1181_68797.spec.fits,'Rusakov et al. (2026)'
rubies-egs53-v4_prism-clear_4233_42046.spec.fits,'Rusakov et al. (2026); Juodžbalis et al. (2026)'
capers-egs49-v4_prism-clear_6368_11585.spec.fits,'Rusakov et al. (2026);Juodžbalis et al. (2026)'
rubies-uds31-v4_prism-clear_4233_154183.spec.fits,'Ivey et al. (2026)'
rubies-uds1-v4_prism-clear_4233_40579.spec.fits,'Wang et al. (2026)'
mom-uds01-v4_prism-clear_5224_150135.spec.fits,'Naidu et al. (2025)'
rubies-uds21-v4_prism-clear_4233_182791.spec.fits,'Juodžbalis et al. (2026)'
jades-gds06-v4_prism-clear_1286_159717.spec.fits,'Juodžbalis et al. (2026)'
jades-gds05-v4_prism-clear_1286_204851.spec.fits,'Juodžbalis et al. (2026) (5664-GS-13971)'
