file,ra,dec,zspec,description
capers-6368_11585,214.8922488,52.8774032,6.70,'Rusakov et al. (2026);Juodžbalis et al. (2026)'
capers-6368_19799,214.9241459,52.8490471,4.22,"'The Sneppen et al. (2026) Sample (""Inside the Cocoon"")'"
jades-1181_68797,189.2291371,62.1461898,5.04,'Rusakov et al. (2026)'
jades-1181_28074,189.0645893,62.2738154,2.27," 'The ""Rosetta Stone"" LRD (Juodžbalis et al. 2025); Juodžbalis et al. (2026)'"
jades-1286_204851,53.1385932,-27.790253399999987,5.49,'Juodžbalis et al. (2026) (5664-GS-13971)'
jades-1286_159717,53.0975283,-27.90126029999999,5.07,'Juodžbalis et al. (2026)'
mom-5224_150135,34.39748407592,-5.13511630627,7.76,'Naidu et al. (2025)'
rubies-4233_42046,214.79536781462,52.78884662864,5.28,'Rusakov et al. (2026); Juodžbalis et al. (2026)'
rubies-4233_55604,214.98302557432,52.956001297,6.99,"'The Sneppen et al. (2026) Sample (""Inside the Cocoon""); Juodžbalis et al. (2026)'"
rubies-4233_40579,34.2441997,-5.245871399999999,3.11,'Wang et al. (2026)'
rubies-4233_182791,34.21381285054,-5.08704950317,4.72,'Juodžbalis et al. (2026)'
rubies-4233_154183,34.41074855089,-5.12966426274,3.55,'Ivey et al. (2026)'
uncover-2561_13123,3.5798285586361156,-30.40156942018814,7.04,'BlackTHUNDER strikes twice (D'Eugenio et al. 2026)'
