file,z,group
capers-cos07-v4_prism-clear_6368_43711.spec.fits,4.42044,G2
capers-cos10-v4_prism-clear_6368_119334.spec.fits,9.294025001594942,G4
capers-cos10-v4_prism-clear_6368_30440.spec.fits,3.5045,G2
capers-cos10-v4_prism-clear_6368_32659.spec.fits,4.44217,G2
capers-cos13-v4_prism-clear_6368_160387.spec.fits,6.38003,G5
capers-cos19-v4_prism-clear_6368_4771.spec.fits,5.92735,G5
capers-cos19-v4_prism-clear_6368_9226.spec.fits,3.7241027,G2
capers-egs47-v4_prism-clear_6368_19300.spec.fits,4.5332627,G1
capers-egs47-v4_prism-clear_6368_212932.spec.fits,2.28602,G2
capers-egs49-v4_prism-clear_6368_11585.spec.fits,6.6958222,G4
capers-egs49-v4_prism-clear_6368_8752.spec.fits,8.357495,G2
capers-egs53-v4_prism-clear_6368_10108.spec.fits,6.6230583,G1
capers-egs61-v4_prism-clear_6368_23961.spec.fits,5.00191,G2
capers-egs65-v4_prism-clear_6368_14197.spec.fits,7.152932,G4
capers-egs65-v4_prism-clear_6368_19799.spec.fits,4.2235518,G4
capers-udsp1-v4_prism-clear_6368_23419.spec.fits,5.5160136,G1
capers-udsp2-v4_prism-clear_6368_10997.spec.fits,5.1536555,G4
capers-udsp2-v4_prism-clear_6368_15322.spec.fits,3.70188,G2
ceers-ddt-v4_prism-clear_2750_1768.spec.fits,5.0884247,G2
ceers-ddt-v4_prism-clear_2750_2015.spec.fits,4.8925524,G5
ceers-v4_prism-clear_1345_746.spec.fits,5.629804398175934,G6
ceers-v4_prism-clear_1345_80457.spec.fits,4.2225738,G4
cosmos-transients-v4_prism-clear_6585_58018.spec.fits,3.9262767,G2
cosmos-transients-v4_prism-clear_6585_61234.spec.fits,7.003398,G2
cosmos-transients-v4_prism-clear_6585_65449.spec.fits,5.2050476,G5
egs-nelsonx-v4_prism-clear_4106_47962.spec.fits,6.7285585,G1
egs-nelsonx-v4_prism-clear_4106_51623.spec.fits,4.9589176,G2
egs-nelsonx-v4_prism-clear_4106_57146.spec.fits,6.686174,G4
egs-nelsonx-v4_prism-clear_4106_71365.spec.fits,4.8042393,G1
egs-nelsonx-v4_prism-clear_4106_85168.spec.fits,7.769293,G5
gds-barrufet-s67-v4_prism-clear_2198_12577.spec.fits,5.2363167,G2
gds-barrufet-s67-v4_prism-clear_2198_4490.spec.fits,3.705768,G2
gds-barrufet-s67-v4_prism-clear_2198_4820.spec.fits,3.7993941,G2
gto-wide-egs1-v4_prism-clear_1213_2974.spec.fits,2.3187494,G2
gto-wide-uds11-v4_prism-clear_1215_4994.spec.fits,5.5147057,G1
gto-wide-uds13-v4_prism-clear_1215_4273.spec.fits,4.053912,G2
gto-wide-uds14-v4_prism-clear_1215_4446.spec.fits,4.68347,G2
jades-gdn-v4_prism-clear_1181_39353.spec.fits,4.8533993,G1
jades-gdn-v4_prism-clear_1181_53501.spec.fits,3.43598,G2
jades-gdn-v4_prism-clear_1181_68797.spec.fits,5.043335,G4
jades-gdn09-v4_prism-clear_1181_73488.spec.fits,4.130943,G1
jades-gdn11-v4_prism-clear_1181_4685.spec.fits,7.4159017,G5
jades-gdn198-v4_prism-clear_1181_39353.spec.fits,4.85197,G1
jades-gdn198-v4_prism-clear_1181_53501.spec.fits,3.43611,G2
jades-gdn198-v4_prism-clear_1181_68797.spec.fits,5.0410485,G4
jades-gdn2-v4_prism-clear_1181_28074.spec.fits,2.2734878,G2
jades-gds-w09-v4_prism-clear_1212_2993.spec.fits,4.8245463,G4
jades-gds-wide-v4_prism-clear_1180_12402.spec.fits,3.1927059,G4
jades-gds-wide-v4_prism-clear_1180_13329.spec.fits,3.935016,G1
jades-gds-wide2-v4_prism-clear_1180_b398.spec.fits,7.24752023960155,G5
jades-gds02-v4_prism-clear_1286_38562.spec.fits,4.8218217,G1
jades-gds05-v4_prism-clear_1286_204851.spec.fits,5.485453,G2
jades-gds06-v4_prism-clear_1286_159717.spec.fits,5.074387,G2
macs0416-v4_prism-clear_1208_3104035.spec.fits,5.006783,G2
macs0416-v4_prism-clear_1208_3104219.spec.fits,6.414142,G2
macs0417-v4_prism-clear_1208_205006.spec.fits,5.621284,G1
macs1423-v4_prism-clear_1208_4103248.spec.fits,5.774661,G2
macs1423-v4_prism-clear_1208_4111584.spec.fits,4.0656843,G1
macsj0647-v4_prism-clear_1433_1045.spec.fits,4.5276384,G2
nexus-obs3-v4_prism-clear_5105_10835.spec.fits,4.65012,G3
nexus-obs3-v4_prism-clear_5105_10868.spec.fits,4.38856,G4
nexus-obs3-v4_prism-clear_5105_12143.spec.fits,5.86735,G5
nexus-obs3-v4_prism-clear_5105_21941.spec.fits,3.67055,G2
nexus-obs3-v4_prism-clear_5105_23192.spec.fits,4.52104729497047,G4
nexus-obs5-v4_prism-clear_5105_20152.spec.fits,2.86932,G2
nexus-obs5-v4_prism-clear_5105_2314.spec.fits,4.42207,G4
nexus-obs5-v4_prism-clear_5105_3713.spec.fits,3.21512,G2
nexus-obs5-v4_prism-clear_5105_7712.spec.fits,5.86941,G4
rubies-egs51-v4_prism-clear_4233_926125.spec.fits,5.2878757,G2
rubies-egs51-v4_prism-clear_4233_927271.spec.fits,6.788556,G1
rubies-egs52-v4_prism-clear_4233_29489.spec.fits,4.542522,G1
rubies-egs52-v4_prism-clear_4233_37124.spec.fits,5.68516,G5
rubies-egs53-v4_prism-clear_4233_42046.spec.fits,5.2845182,G3
rubies-egs61-v4_prism-clear_4233_55604.spec.fits,6.988607,G4
rubies-egs61-v4_prism-clear_4233_61496.spec.fits,5.083718,G2
rubies-egs61-v4_prism-clear_4233_952625.spec.fits,5.1085505,G5
rubies-egs62-v4_prism-clear_4233_42232.spec.fits,4.9565415,G4
rubies-egs62-v4_prism-clear_4233_948917.spec.fits,6.7316566,G1
rubies-egs63-v4_prism-clear_4233_28812.spec.fits,4.228986,G4
rubies-egs63-v4_prism-clear_4233_38434.spec.fits,2.8590343,G2
rubies-egs63-v4_prism-clear_4233_42232.spec.fits,4.954755,G4
rubies-egs63-v4_prism-clear_4233_42803.spec.fits,7.1516957,G5
rubies-egs63-v4_prism-clear_4233_49140.spec.fits,6.6877327,G4
rubies-uds1-v4_prism-clear_4233_11917.spec.fits,2.5857115,G1
rubies-uds1-v4_prism-clear_4233_31747.spec.fits,4.129401,G4
rubies-uds1-v4_prism-clear_4233_40579.spec.fits,3.113558,G4
rubies-uds1-v4_prism-clear_4233_928474.spec.fits,6.929497,G5
rubies-uds21-v4_prism-clear_4233_175975.spec.fits,2.9519691,G2
rubies-uds21-v4_prism-clear_4233_182791.spec.fits,4.717405,G2
rubies-uds22-v4_prism-clear_4233_119957.spec.fits,4.151636,G2
