file,z,normalized,norm_factor,norm_window_min,norm_window_max,norm_error
capers-cos07-v4_prism-clear_6368_43711.spec.fits,4.42044,True,2.6962743125157868e-20,0.3546,0.3746,
capers-cos10-v4_prism-clear_6368_119334.spec.fits,9.294025001594942,True,5.292461622364236e-21,0.3546,0.3746,
capers-cos10-v4_prism-clear_6368_30440.spec.fits,3.5045,True,2.0367658176287792e-20,0.3546,0.3746,
capers-cos10-v4_prism-clear_6368_32659.spec.fits,4.44217,True,5.62749790700307e-21,0.3546,0.3746,
capers-cos13-v4_prism-clear_6368_160387.spec.fits,6.38003,True,4.20452341863063e-21,0.3546,0.3746,
capers-cos19-v4_prism-clear_6368_4771.spec.fits,5.92735,True,1.6441919014849736e-21,0.3546,0.3746,
capers-cos19-v4_prism-clear_6368_9226.spec.fits,3.7241027,True,6.923923315197775e-20,0.3546,0.3746,
capers-egs47-v4_prism-clear_6368_19300.spec.fits,4.5332627,True,1.4683694269280342e-20,0.3546,0.3746,
capers-egs47-v4_prism-clear_6368_212932.spec.fits,2.28602,True,3.152960240821557e-20,0.3546,0.3746,
capers-egs49-v4_prism-clear_6368_11585.spec.fits,6.6958222,True,2.627234006159917e-20,0.3546,0.3746,
capers-egs49-v4_prism-clear_6368_8752.spec.fits,8.357495,True,1.4680116691136502e-20,0.3546,0.3746,
capers-egs53-v4_prism-clear_6368_10108.spec.fits,6.6230583,True,1.4367038637970747e-20,0.3546,0.3746,
capers-egs61-v4_prism-clear_6368_23961.spec.fits,5.00191,True,9.800409977594502e-21,0.3546,0.3746,
capers-egs65-v4_prism-clear_6368_14197.spec.fits,7.152932,True,2.8066835996815896e-21,0.3546,0.3746,
capers-egs65-v4_prism-clear_6368_19799.spec.fits,4.2235518,True,1.8498567538480022e-20,0.3546,0.3746,
capers-udsp1-v4_prism-clear_6368_23419.spec.fits,5.5160136,True,2.864203464287083e-20,0.3546,0.3746,
capers-udsp2-v4_prism-clear_6368_10997.spec.fits,5.1536555,True,9.764472122597558e-21,0.3546,0.3746,
capers-udsp2-v4_prism-clear_6368_15322.spec.fits,3.70188,True,3.0622918906731705e-20,0.3546,0.3746,
ceers-ddt-v4_prism-clear_2750_1768.spec.fits,5.0884247,True,4.647378271672628e-21,0.3546,0.3746,
ceers-ddt-v4_prism-clear_2750_2015.spec.fits,4.8925524,True,2.1586002381161066e-21,0.3546,0.3746,
ceers-v4_prism-clear_1345_746.spec.fits,5.629804398175934,False,,,,Invalid normalization factor
ceers-v4_prism-clear_1345_80457.spec.fits,4.2225738,True,7.81090441009165e-21,0.3546,0.3746,
cosmos-transients-v4_prism-clear_6585_58018.spec.fits,3.9262767,True,4.9878918485525563e-20,0.3546,0.3746,
cosmos-transients-v4_prism-clear_6585_61234.spec.fits,7.003398,True,1.5538306376273663e-20,0.3546,0.3746,
cosmos-transients-v4_prism-clear_6585_65449.spec.fits,5.2050476,True,7.803015283279334e-22,0.3546,0.3746,
egs-nelsonx-v4_prism-clear_4106_47962.spec.fits,6.7285585,True,1.9241686157443146e-20,0.3546,0.3746,
egs-nelsonx-v4_prism-clear_4106_51623.spec.fits,4.9589176,True,1.3479319402557546e-20,0.3546,0.3746,
egs-nelsonx-v4_prism-clear_4106_57146.spec.fits,6.686174,True,6.7356796021185554e-21,0.3546,0.3746,
egs-nelsonx-v4_prism-clear_4106_71365.spec.fits,4.8042393,True,1.0457453288343701e-20,0.3546,0.3746,
egs-nelsonx-v4_prism-clear_4106_85168.spec.fits,7.769293,True,3.892665751055691e-21,0.3546,0.3746,
gds-barrufet-s67-v4_prism-clear_2198_12577.spec.fits,5.2363167,True,1.2115713084068727e-20,0.3546,0.3746,
gds-barrufet-s67-v4_prism-clear_2198_4490.spec.fits,3.705768,True,2.0596007372737083e-20,0.3546,0.3746,
gds-barrufet-s67-v4_prism-clear_2198_4820.spec.fits,3.7993941,True,3.122288930670045e-20,0.3546,0.3746,
gto-wide-egs1-v4_prism-clear_1213_2974.spec.fits,2.3187494,True,4.605591424450025e-20,0.3546,0.3746,
gto-wide-uds11-v4_prism-clear_1215_4994.spec.fits,5.5147057,True,2.8697851777169524e-20,0.3546,0.3746,
gto-wide-uds13-v4_prism-clear_1215_4273.spec.fits,4.053912,True,2.677449627980689e-20,0.3546,0.3746,
gto-wide-uds14-v4_prism-clear_1215_4446.spec.fits,4.68347,True,4.313897721348523e-20,0.3546,0.3746,
jades-gdn-v4_prism-clear_1181_39353.spec.fits,4.8533993,True,1.3310865989748978e-20,0.3546,0.3746,
jades-gdn-v4_prism-clear_1181_53501.spec.fits,3.43598,True,2.7370021740176686e-20,0.3546,0.3746,
jades-gdn-v4_prism-clear_1181_68797.spec.fits,5.043335,True,3.6295139252466985e-20,0.3546,0.3746,
jades-gdn09-v4_prism-clear_1181_73488.spec.fits,4.130943,True,2.329416861404108e-20,0.3546,0.3746,
jades-gdn11-v4_prism-clear_1181_4685.spec.fits,7.4159017,True,2.068165668696895e-21,0.3546,0.3746,
jades-gdn198-v4_prism-clear_1181_39353.spec.fits,4.85197,True,1.8888167025058693e-20,0.3546,0.3746,
jades-gdn198-v4_prism-clear_1181_53501.spec.fits,3.43611,True,3.6149967645648893e-20,0.3546,0.3746,
jades-gdn198-v4_prism-clear_1181_68797.spec.fits,5.0410485,True,4.1703457263574247e-20,0.3546,0.3746,
jades-gdn2-v4_prism-clear_1181_28074.spec.fits,2.2734878,True,3.1254225811798958e-19,0.3546,0.3746,
jades-gds-w09-v4_prism-clear_1212_2993.spec.fits,4.8245463,True,1.4959987260025823e-20,0.3546,0.3746,
jades-gds-wide-v4_prism-clear_1180_12402.spec.fits,3.1927059,True,2.3420390859388233e-20,0.3546,0.3746,
jades-gds-wide-v4_prism-clear_1180_13329.spec.fits,3.935016,True,3.033041652704962e-20,0.3546,0.3746,
