,file,z,normalized,norm_factor,norm_error,median_flux_1500A,window_at_1500A,points_within_window1500A,median_flux_1900A,window_at_1900A,points_within_window1900A,median_flux_5500A,window_at_5500A,points_within_window5500A
0,/content/LRDs/DeGraaff_espectros/capers-cos07-v4_prism-clear_6368_43711.spec.fits,4.42044,True,2.6962743125157868e-20,,3.3121909220587233,300.0,19.0,2.6001503399715604,300.0,12.0,1.3108924961988822,200.00000000000017,8.0
1,/content/LRDs/DeGraaff_espectros/capers-cos10-v4_prism-clear_6368_119334.spec.fits,9.294025001594942,True,5.292461622364236e-21,,2.78592598482968,300.0,16.0,2.629840494868307,300.0,17.0,,200.00000000000017,0.0
2,/content/LRDs/DeGraaff_espectros/capers-cos10-v4_prism-clear_6368_30440.spec.fits,3.5045,True,2.0367658176287792e-20,,3.6531277253645618,300.0,25.0,2.3976963668386473,300.0,14.0,0.63867922500396,200.00000000000017,6.0
3,/content/LRDs/DeGraaff_espectros/capers-cos10-v4_prism-clear_6368_32659.spec.fits,4.44217,True,5.62749790700307e-21,,5.166088882894242,300.0,19.0,4.510371591574829,300.0,11.0,1.3316734493918676,200.00000000000017,8.0
4,/content/LRDs/DeGraaff_espectros/capers-cos19-v4_prism-clear_6368_9226.spec.fits,3.7241027,True,6.923923315197775e-20,,3.2443936777535125,300.0,23.0,2.2461340075030485,300.0,13.0,0.8625794995889201,200.00000000000017,6.0
5,/content/LRDs/DeGraaff_espectros/capers-egs47-v4_prism-clear_6368_19300.spec.fits,4.5332627,True,1.4683694269280342e-20,,4.691114520818946,300.0,18.0,3.2088322303980013,300.0,11.0,1.4145215469399017,200.00000000000017,9.0
6,/content/LRDs/DeGraaff_espectros/capers-egs47-v4_prism-clear_6368_212932.spec.fits,2.28602,True,3.152960240821557e-20,,,300.0,1.0,1.8037096087135036,300.0,22.0,0.7622833457099554,200.00000000000017,3.0
7,/content/LRDs/DeGraaff_espectros/capers-egs49-v4_prism-clear_6368_11585.spec.fits,6.6958222,True,2.627234006159917e-20,,1.8852621034947692,300.0,14.0,1.7661642368677664,300.0,12.0,3.208067191490764,200.00000000000017,17.0
8,/content/LRDs/DeGraaff_espectros/capers-egs49-v4_prism-clear_6368_8752.spec.fits,8.357495,True,1.4680116691136502e-20,,3.554065632825458,300.0,15.0,2.7636963838697772,300.0,14.0,1.4128268495313239,200.00000000000017,25.0
9,/content/LRDs/DeGraaff_espectros/capers-egs53-v4_prism-clear_6368_10108.spec.fits,6.6230583,True,1.4367038637970747e-20,,3.7989490991749646,300.0,15.0,2.6596993671675206,300.0,12.0,0.9044703424483278,200.00000000000017,17.0
10,/content/LRDs/DeGraaff_espectros/capers-egs61-v4_prism-clear_6368_23961.spec.fits,5.00191,True,9.800409977594502e-21,,2.026999540442956,300.0,17.0,1.6470048015394605,300.0,11.0,2.4702486407798383,200.00000000000017,10.0
11,/content/LRDs/DeGraaff_espectros/capers-egs65-v4_prism-clear_6368_14197.spec.fits,7.152932,True,2.8066835996815896e-21,,5.467309676706019,300.0,14.0,3.587091010979708,300.0,12.0,5.36524622940668,200.00000000000017,19.0
12,/content/LRDs/DeGraaff_espectros/capers-egs65-v4_prism-clear_6368_19799.spec.fits,4.2235518,True,1.8498567538480022e-20,,1.8498951654804594,300.0,19.0,1.8759921965104276,300.0,12.0,3.0347091788869847,200.00000000000017,8.0
13,/content/LRDs/DeGraaff_espectros/capers-udsp1-v4_prism-clear_6368_23419.spec.fits,5.5160136,True,2.864203464287083e-20,,4.24245404015867,300.0,16.0,2.4115189756616413,300.0,11.0,1.415120179548532,200.00000000000017,12.0
14,/content/LRDs/DeGraaff_espectros/capers-udsp2-v4_prism-clear_6368_10997.spec.fits,5.1536555,True,9.764472122597558e-21,,1.3036599792054837,300.0,16.0,0.8440481967233644,300.0,11.0,3.718830445061405,200.00000000000017,10.0
15,/content/LRDs/DeGraaff_espectros/capers-udsp2-v4_prism-clear_6368_15322.spec.fits,3.70188,True,3.0622918906731705e-20,,2.5456652564017546,300.0,23.0,2.0200141957931215,300.0,13.0,1.9420648604807211,200.00000000000017,6.0
16,/content/LRDs/DeGraaff_espectros/ceers-ddt-v4_prism-clear_2750_1768.spec.fits,5.0884247,True,4.647378271672628e-21,,3.886191231883195,300.0,17.0,2.901885781595393,300.0,11.0,2.244480979867288,200.00000000000017,10.0
17,/content/LRDs/DeGraaff_espectros/ceers-v4_prism-clear_1345_80457.spec.fits,4.2225738,True,7.81090441009165e-21,,1.3355815801408257,300.0,19.0,1.8750712579466884,300.0,12.0,3.9518115066374904,200.00000000000017,8.0
18,/content/LRDs/DeGraaff_espectros/cosmos-transients-v4_prism-clear_6585_58018.spec.fits,3.9262767,True,4.9878918485525563e-20,,5.3276849025302075,300.0,21.0,3.854823599516575,300.0,13.0,1.5531296984852272,200.00000000000017,7.0
19,/content/LRDs/DeGraaff_espectros/cosmos-transients-v4_prism-clear_6585_61234.spec.fits,7.003398,True,1.5538306376273663e-20,,3.6447859948085757,300.0,14.0,2.5567316010411862,300.0,13.0,1.6494735090515769,200.00000000000017,18.0
20,/content/LRDs/DeGraaff_espectros/egs-nelsonx-v4_prism-clear_4106_47962.spec.fits,6.7285585,True,1.9241686157443146e-20,,4.114227500421539,300.0,15.0,2.646570797442851,300.0,12.0,1.0701191791045588,200.00000000000017,17.0
21,/content/LRDs/DeGraaff_espectros/egs-nelsonx-v4_prism-clear_4106_51623.spec.fits,4.9589176,True,1.3479319402557546e-20,,2.686791534105689,300.0,17.0,2.1088737242422506,300.0,11.0,2.4113298789419035,200.00000000000017,10.0
22,/content/LRDs/DeGraaff_espectros/egs-nelsonx-v4_prism-clear_4106_57146.spec.fits,6.686174,True,6.7356796021185554e-21,,1.1448226648178754,300.0,14.0,2.3474500960565443,300.0,12.0,4.164093476406462,200.00000000000017,17.0
23,/content/LRDs/DeGraaff_espectros/egs-nelsonx-v4_prism-clear_4106_71365.spec.fits,4.8042393,True,1.0457453288343701e-20,,2.6519574203836958,300.0,17.0,2.370764548562044,300.0,12.0,1.0181582156083375,200.00000000000017,10.0
24,/content/LRDs/DeGraaff_espectros/gds-barrufet-s67-v4_prism-clear_2198_12577.spec.fits,5.2363167,True,1.2115713084068727e-20,,1.0900872176082066,300.0,16.0,2.1504952367312296,300.0,11.0,1.2019533791176362,200.00000000000017,11.0
25,/content/LRDs/DeGraaff_espectros/gds-barrufet-s67-v4_prism-clear_2198_4490.spec.fits,3.705768,True,2.0596007372737083e-20,,6.264741389261576,300.0,23.0,3.8418665710446875,300.0,14.0,1.9552876183674575,200.00000000000017,7.0
26,/content/LRDs/DeGraaff_espectros/gds-barrufet-s67-v4_prism-clear_2198_4820.spec.fits,3.7993941,True,3.122288930670045e-20,,3.2045121556556335,300.0,22.0,2.3352095162798614,300.0,13.0,1.1103997197467872,200.00000000000017,6.0
27,/content/LRDs/DeGraaff_espectros/gto-wide-egs1-v4_prism-clear_1213_2974.spec.fits,2.3187494,True,4.605591424450025e-20,,,300.0,3.0,3.884937558817354,300.0,22.0,0.9039159471051611,200.00000000000017,3.0
28,/content/LRDs/DeGraaff_espectros/gto-wide-uds11-v4_prism-clear_1215_4994.spec.fits,5.5147057,True,2.8697851777169524e-20,,3.573231550974295,300.0,15.0,2.618620722041475,300.0,11.0,1.2874424772831277,200.00000000000017,12.0
29,/content/LRDs/DeGraaff_espectros/gto-wide-uds13-v4_prism-clear_1215_4273.spec.fits,4.053912,True,2.677449627980689e-20,,2.7315340789722695,300.0,21.0,1.6763789070152448,300.0,12.0,0.8503258197156781,200.00000000000017,7.0
