filename,z,norm_factor,Ha_Hb_ratio,Ha_Hb_ratio_err,logL5100,logL5100_err,OIII_Hbeta_ratio,OIII_Hbeta_ratio_err,F2000N,F2000N_err,F5500N,F5500N_err,bin,absorption,absorption_ref
capers-cos07-v4_prism-clear_6368_43711.spec.fits,4.42,2.56e-20,8.13,0.28,43.4883,0.0043,5.73,0.21,2.55,0.32,1.353,0.071,B2,False,
capers-cos10-v4_prism-clear_6368_30440.spec.fits,3.504,2.12e-20,7.82,0.5,42.782,0.018,5.37,0.36,2.29,0.54,0.607,0.085,B1,False,
capers-cos10-v4_prism-clear_6368_32659.spec.fits,4.442,5.29e-21,3.71,0.31,42.845,0.022,2.77,0.26,3.8,1.8,1.3,0.48,B2,False,
capers-cos19-v4_prism-clear_6368_4771.spec.fits,5.927,4.01e-21,8.43,0.54,43.162,0.018,1.78,0.13,3.1,1.7,1.65,0.56,B2,False,
capers-cos19-v4_prism-clear_6368_9226.spec.fits,3.724,6.83e-20,11.57,0.79,43.6054,0.006,6.0,0.43,2.02,0.35,0.878,0.067,B1,False,
capers-egs47-v4_prism-clear_6368_19300.spec.fits,4.533,1.39e-20,11.36,0.86,43.3219,0.0049,1.52,0.13,3.47,0.44,1.49,0.12,B2,False,
capers-egs47-v4_prism-clear_6368_212932.spec.fits,2.286,2.98e-20,7.5,1.3,42.641,0.01,3.82,0.7,2.09,0.93,0.812,0.094,B1,False,
capers-egs49-v4_prism-clear_6368_11585.spec.fits,6.696,2.66e-20,8.03,0.3,44.3387,0.0019,0.882,0.042,1.62,0.21,3.11,0.14,B3,True,'Rusakov et al. (2026);Juodžbalis et al. (2026)'
capers-egs49-v4_prism-clear_6368_8752.spec.fits,8.357,1.42e-20,,,44.0009,0.005,,,2.37,0.3,1.52,0.28,B2,False,
capers-egs53-v4_prism-clear_6368_10108.spec.fits,6.623,1.32e-20,7.61,0.55,43.5371,0.0079,2.97,0.23,2.71,0.45,0.97,0.2,B1,False,
capers-egs61-v4_prism-clear_6368_23961.spec.fits,5.002,8.36e-21,12.0,2.1,43.4608,0.0076,2.15,0.39,1.49,0.94,2.92,0.33,B3,False,
capers-egs65-v4_prism-clear_6368_14197.spec.fits,7.153,3.29e-21,16.1,1.4,43.6259,0.0067,1.43,0.14,3.0,1.2,4.54,0.71,B4,False,
capers-egs65-v4_prism-clear_6368_19799.spec.fits,4.224,1.70e-20,10.5,1.3,43.6731,0.0043,2.48,0.33,1.98,0.55,3.32,0.18,B3,True,"'The Sneppen et al. (2026) Sample (""Inside the Cocoon"")'"
capers-udsp1-v4_prism-clear_6368_23419.spec.fits,5.516,2.76e-20,9.09,0.29,43.8461,0.0038,1.658,0.06,2.48,0.34,1.51,0.11,B2,False,
capers-udsp2-v4_prism-clear_6368_10997.spec.fits,5.154,9.02e-21,8.3,0.99,43.7014,0.0056,3.39,0.42,0.1,1.2,3.88,0.38,B4,False,
capers-udsp2-v4_prism-clear_6368_15322.spec.fits,3.702,3.02e-20,7.04,0.48,43.5738,0.0035,1.88,0.14,1.89,0.41,1.974,0.08,B2,False,
ceers-ddt-v4_prism-clear_2750_1768.spec.fits,5.088,5.24e-21,9.5,1.1,43.102,0.012,1.94,0.24,2.29,1.0,1.89,0.36,B2,False,
ceers-v4_prism-clear_1345_746.spec.fits,5.63,3.59e-21,10.8,1.7,43.184,0.026,2.51,0.41,1.2,3.8,3.3,1.2,B3,False,
cosmos-transients-v4_prism-clear_6585_58018.spec.fits,3.926,5.00e-20,9.39,0.5,43.7411,0.0025,3.48,0.19,3.4,0.23,1.557,0.048,B2,False,
cosmos-transients-v4_prism-clear_6585_61234.spec.fits,7.003,1.67e-20,10.04,0.38,43.8937,0.0045,2.156,0.089,2.29,0.41,1.5,0.17,B2,False,
egs-nelsonx-v4_prism-clear_4106_47962.spec.fits,6.729,1.89e-20,3.92,0.11,43.7505,0.0066,2.714,0.082,2.78,0.38,1.11,0.16,B1,False,
egs-nelsonx-v4_prism-clear_4106_51623.spec.fits,4.959,1.09e-20,13.12,0.58,43.6087,0.0042,1.032,0.055,2.17,0.69,2.98,0.19,B3,False,
